Area,Date,date,Claims
Bibb County,06/27/2020,Jun 27,1848
Bibb County,07/04/2020,Jul 04,1851
Bibb County,07/11/2020,Jul 11,2783
Bibb County,07/18/2020,Jul 18,2216
Bibb County,07/25/2020,Jul 25,1296
Bibb County,08/01/2020,Aug 01,1259
Bibb County,08/08/2020,Aug 08,925
Bibb County,08/15/2020,Aug 15,1069
Bibb County,08/22/2020,Aug 22,831
Bibb County,08/29/2020,Aug 29,965
Bibb County,09/05/2020,Sep 05,997
Bibb County,09/12/2020,Sep 12,904
Bibb County,09/19/2020,Sep 19,789
Bibb County,09/26/2020,Sep 26,766
Bibb County,10/03/2020,Oct 03,676
Bibb County,10/10/2020,Oct 10,994
Bibb County,10/17/2020,Oct 17,816
Bibb County,10/24/2020,Oct 24,854
Bibb County,10/31/2020,Oct 31,581
Bibb County,11/07/2020,Nov 07,321
Bibb County,11/14/2020,Nov 14,247
Bibb County,11/21/2020,Nov 21,435
Bibb County,11/28/2020,Nov 28,280
Bibb County,12/05/2020,Dec 05,485
Bibb County,12/12/2020,Dec 12,348
Bleckley County,03/07/2020,Mar 07,5
Bleckley County,03/14/2020,Mar 14,16
Bleckley County,03/21/2020,Mar 21,12
Bleckley County,03/28/2020,Mar 28,47
Bleckley County,04/04/2020,Apr 04,232
Bleckley County,04/11/2020,Apr 11,165
Bleckley County,04/18/2020,Apr 18,130
Bleckley County,04/25/2020,Apr 25,127
Bleckley County,05/02/2020,May 02,111
Bleckley County,05/09/2020,May 09,127
Bleckley County,05/16/2020,May 16,113
Bleckley County,05/23/2020,May 23,111
Bleckley County,05/30/2020,May 30,85
Bleckley County,06/06/2020,Jun 06,91
Bleckley County,06/13/2020,Jun 13,67
Bleckley County,06/20/2020,Jun 20,85
Bleckley County,06/27/2020,Jun 27,84
Bleckley County,07/04/2020,Jul 04,72
Bleckley County,07/11/2020,Jul 11,92
Bleckley County,07/18/2020,Jul 18,82
Bleckley County,07/25/2020,Jul 25,42
Bleckley County,08/01/2020,Aug 01,36
Bleckley County,08/08/2020,Aug 08,51
Bleckley County,08/15/2020,Aug 15,38
Bleckley County,08/22/2020,Aug 22,22
Bleckley County,08/29/2020,Aug 29,43
Bleckley County,09/05/2020,Sep 05,34
Bleckley County,09/12/2020,Sep 12,26
Bleckley County,09/19/2020,Sep 19,30
Bleckley County,09/26/2020,Sep 26,41
Bleckley County,10/03/2020,Oct 03,31
Bleckley County,10/10/2020,Oct 10,51
Bleckley County,10/17/2020,Oct 17,37
Bleckley County,10/24/2020,Oct 24,46
Bleckley County,10/31/2020,Oct 31,30
Bleckley County,11/07/2020,Nov 07,16
Bleckley County,11/14/2020,Nov 14,20
Bleckley County,11/21/2020,Nov 21,18
Bleckley County,11/28/2020,Nov 28,12
Bleckley County,12/05/2020,Dec 05,30
Bleckley County,12/12/2020,Dec 12,29
Brantley County,03/07/2020,Mar 07,6
Brantley County,03/14/2020,Mar 14,8
Brantley County,03/21/2020,Mar 21,7
Brantley County,03/28/2020,Mar 28,82
Brantley County,04/04/2020,Apr 04,438
Brantley County,04/11/2020,Apr 11,339
Brantley County,04/18/2020,Apr 18,311
Brantley County,04/25/2020,Apr 25,315
Brantley County,05/02/2020,May 02,309
Brantley County,05/09/2020,May 09,291
Brantley County,05/16/2020,May 16,254
Brantley County,05/23/2020,May 23,218
Brantley County,05/30/2020,May 30,190
Brantley County,06/06/2020,Jun 06,140
Brantley County,06/13/2020,Jun 13,152
Brantley County,06/20/2020,Jun 20,110
Brantley County,06/27/2020,Jun 27,119
Brantley County,07/04/2020,Jul 04,108
Brantley County,07/11/2020,Jul 11,106
Brantley County,07/18/2020,Jul 18,116
Brantley County,07/25/2020,Jul 25,82
Brantley County,08/01/2020,Aug 01,65
Brantley County,08/08/2020,Aug 08,70
Brantley County,08/15/2020,Aug 15,66
Brantley County,08/22/2020,Aug 22,64
Brantley County,08/29/2020,Aug 29,66
Brantley County,09/05/2020,Sep 05,59
Brantley County,09/12/2020,Sep 12,47
Brantley County,09/19/2020,Sep 19,70
Brantley County,09/26/2020,Sep 26,58
Brantley County,10/03/2020,Oct 03,50
Brantley County,10/10/2020,Oct 10,74
Brantley County,10/17/2020,Oct 17,46
Brantley County,10/24/2020,Oct 24,65
Brantley County,10/31/2020,Oct 31,37
Brantley County,11/07/2020,Nov 07,45
Brantley County,11/14/2020,Nov 14,28
Brantley County,11/21/2020,Nov 21,31
Brantley County,11/28/2020,Nov 28,31
Brantley County,12/05/2020,Dec 05,45
Brantley County,12/12/2020,Dec 12,31
Brooks County,03/07/2020,Mar 07,5
Brooks County,03/14/2020,Mar 14,3
Brooks County,03/21/2020,Mar 21,9
Brooks County,03/28/2020,Mar 28,55
Brooks County,04/04/2020,Apr 04,246
Brooks County,04/11/2020,Apr 11,177
Brooks County,04/18/2020,Apr 18,203
Brooks County,04/25/2020,Apr 25,181
Brooks County,05/02/2020,May 02,227
Brooks County,05/09/2020,May 09,163
Brooks County,05/16/2020,May 16,186
Brooks County,05/23/2020,May 23,199
Brooks County,05/30/2020,May 30,172
Brooks County,06/06/2020,Jun 06,144
Brooks County,06/13/2020,Jun 13,192
Brooks County,06/20/2020,Jun 20,210
Brooks County,06/27/2020,Jun 27,179
Brooks County,07/04/2020,Jul 04,204
Brooks County,07/11/2020,Jul 11,216
Brooks County,07/18/2020,Jul 18,217
Brooks County,07/25/2020,Jul 25,123
Brooks County,08/01/2020,Aug 01,74
Brooks County,08/08/2020,Aug 08,91
Brooks County,08/15/2020,Aug 15,62
Brooks County,08/22/2020,Aug 22,92
Brooks County,08/29/2020,Aug 29,69
Brooks County,09/05/2020,Sep 05,83
Brooks County,09/12/2020,Sep 12,42
Brooks County,09/19/2020,Sep 19,61
Brooks County,09/26/2020,Sep 26,62
Brooks County,10/03/2020,Oct 03,55
Brooks County,10/10/2020,Oct 10,55
Brooks County,10/17/2020,Oct 17,70
Brooks County,10/24/2020,Oct 24,46
Brooks County,10/31/2020,Oct 31,48
Brooks County,11/07/2020,Nov 07,25
Brooks County,11/14/2020,Nov 14,15
Brooks County,11/21/2020,Nov 21,28
Brooks County,11/28/2020,Nov 28,19
Brooks County,12/05/2020,Dec 05,31
Brooks County,12/12/2020,Dec 12,25
Bryan County,03/07/2020,Mar 07,11
Bryan County,03/14/2020,Mar 14,28
Bryan County,03/21/2020,Mar 21,66
Bryan County,03/28/2020,Mar 28,351
Bryan County,04/04/2020,Apr 04,1644
Bryan County,04/11/2020,Apr 11,1271
Bryan County,04/18/2020,Apr 18,1116
Bryan County,04/25/2020,Apr 25,1001
Bryan County,05/02/2020,May 02,917
Bryan County,05/09/2020,May 09,821
Bryan County,05/16/2020,May 16,724
Bryan County,05/23/2020,May 23,583
Bryan County,05/30/2020,May 30,549
Bryan County,06/06/2020,Jun 06,401
Bryan County,06/13/2020,Jun 13,457
Bryan County,06/20/2020,Jun 20,454
Bryan County,06/27/2020,Jun 27,406
Bryan County,07/04/2020,Jul 04,303
Bryan County,07/11/2020,Jul 11,358
Bryan County,07/18/2020,Jul 18,324
Bryan County,07/25/2020,Jul 25,237
Bryan County,08/01/2020,Aug 01,255
Bryan County,08/08/2020,Aug 08,186
Bryan County,08/15/2020,Aug 15,215
Bryan County,08/22/2020,Aug 22,173
Bryan County,08/29/2020,Aug 29,174
Bryan County,09/05/2020,Sep 05,143
Bryan County,09/12/2020,Sep 12,135
Bryan County,09/19/2020,Sep 19,205
Bryan County,09/26/2020,Sep 26,191
Bryan County,10/03/2020,Oct 03,165
Bryan County,10/10/2020,Oct 10,172
Bryan County,10/17/2020,Oct 17,124
Bryan County,10/24/2020,Oct 24,152
Bryan County,10/31/2020,Oct 31,98
Bryan County,11/07/2020,Nov 07,62
Bryan County,11/14/2020,Nov 14,69
Bryan County,11/21/2020,Nov 21,112
Bryan County,11/28/2020,Nov 28,75
Bryan County,12/05/2020,Dec 05,99
Bryan County,12/12/2020,Dec 12,82
Bulloch County,03/07/2020,Mar 07,111
Bulloch County,03/14/2020,Mar 14,42
Bulloch County,03/21/2020,Mar 21,86
Bulloch County,03/28/2020,Mar 28,736
Bulloch County,04/04/2020,Apr 04,2633
Bulloch County,04/11/2020,Apr 11,2078
